"Região","Variável","Ano","Valor","Valor corrigido","Variação anual","Índice"
"Acre","08 - Assistência Social",2019,37509419.66,45644351.06,-2.97,97.03
"Acre","08 - Assistência Social",2020,32686608.78,38056401.76,-16.62,80.9
"Acre","08 - Assistência Social",2021,39711965.96,42009340.09,10.39,89.31
"Acre","08 - Assistência Social",2022,31185343.12,31185343.12,-25.77,66.3
"Acre","08.122 - Administração Geral",2018,27301800.05,34653563.14,NA,100
"Acre","08.122 - Administração Geral",2019,27092359.28,32968069.6,-4.86,95.14
"Acre","08.122 - Administração Geral",2020,31980240.84,37233990.89,12.94,107.45
"Acre","08.122 - Administração Geral",2021,34771582.58,36783150.94,-1.21,106.15
"Acre","08.122 - Administração Geral",2022,3359850.63,3359850.63,-90.87,9.7
"Acre","08.241 - Assistência ao Idoso",2021,2e+05,211570.19,NA,100
"Acre","08.241 - Assistência ao Idoso",2022,10000,10000,-95.27,4.73
"Acre","08.242 - Assistência ao Portador de Deficiência",2018,4535825.32,5757221.46,NA,100
"Acre","08.242 - Assistência ao Portador de Deficiência",2019,4943543.13,6015684.06,4.49,104.49
"Acre","08.242 - Assistência ao Portador de Deficiência",2020,13431.45,15637.98,-99.74,0.27
"Acre","08.242 - Assistência ao Portador de Deficiência",2021,113589.2,120160.44,668.39,2.09
"Acre","08.242 - Assistência ao Portador de Deficiência",2022,183388.96,183388.96,52.62,3.19
"Acre","08.243 - Assistência à Criança e ao Adolescente",2019,155537.36,155537.36,NA,100
"Acre","08.243 - Assistência à Criança e ao Adolescente",2020,51762.68,49525.39,-68.16,31.84
"Acre","08.243 - Assistência à Criança e ao Adolescente",2021,759056.21,659859.87,1232.37,424.25
"Acre","08.243 - Assistência à Criança e ao Adolescente",2022,235346.99,193402.44,-70.69,124.34
"Acre","08.244 - Assistência Comunitária",2018,4438047.96,5633114.85,NA,100
"Acre","08.244 - Assistência Comunitária",2019,5317979.89,6471327.56,14.88,114.88
"Acre","08.244 - Assistência Comunitária",2020,641173.81,746506.57,-88.46,13.25
"Acre","08.244 - Assistência Comunitária",2021,3867737.97,4091490.2,448.08,72.63
"Acre","08.244 - Assistência Comunitária",2022,27396756.54,27396756.54,569.6,486.35
"Acre","09 - Previdência Social",2018,558064308.96,708338524.61,NA,100
"Acre","09 - Previdência Social",2019,677960148.33,824994129.36,16.47,116.47
"Acre","09 - Previdência Social",2020,693500782.58,807429873.72,-2.13,113.99
"Acre","09 - Previdência Social",2021,738174506.99,780878588.04,-3.29,110.24
"Acre","09 - Previdência Social",2022,875078252.99,875078252.99,12.06,123.54
"Acre","09.122 - Administração Geral",2020,58368402.99,67957230.1,NA,100
"Acre","09.122 - Administração Geral",2021,60204335.1,63687211.82,-6.28,93.72
"Acre","09.122 - Administração Geral",2022,74511056.46,74511056.46,17,109.64
"Acre","09.271 - Previdência Básica",2022,10301640.44,9738272.34,NA,100
"Acre","09.272 - Previdência do Regime Estatutário",2018,548838017.71,696627799.83,NA,100
"Acre","09.272 - Previdência do Regime Estatutário",2019,667574143.16,812355638.27,16.61,116.61
"Acre","09.272 - Previdência do Regime Estatutário",2020,635132379.59,739472643.62,-8.97,106.15
"Acre","09.272 - Previdência do Regime Estatutário",2021,677970171.89,717191376.22,-3.01,102.95
"Acre","09.272 - Previdência do Regime Estatutário",2022,784834434.09,784834434.09,9.43,112.66
"Acre","09.274 - Previdência Especial",2018,9226291.25,11710724.78,NA,100
"Acre","09.274 - Previdência Especial",2019,10386005.17,12638491.09,7.92,107.92
"Acre","10 - Saúde",2018,870984304.79,1105520864.72,NA,100
"Acre","10 - Saúde",2019,843153180.45,1026013735.07,-7.19,92.81
"Acre","10 - Saúde",2020,1096862144.17,1277055894.96,24.47,115.52
"Acre","10 - Saúde",2021,1212040922.2,1282158615.63,0.4,115.98
"Acre","10 - Saúde",2022,1462611119.48,1462611119.48,14.07,132.3
"Acre","10.122 - Administração Geral",2018,17172982.69,21797282.19,NA,100
"Acre","10.122 - Administração Geral",2019,19018497.34,23143172.49,6.17,106.17
"Acre","10.122 - Administração Geral",2020,683369530.31,795634247.89,3337.88,3650.15
"Acre","10.122 - Administração Geral",2021,720075861.67,761732919.27,-4.26,3494.62
"Acre","10.122 - Administração Geral",2022,576137.1,576137.1,-99.92,2.64
"Acre","10.301 - Atenção Básica",2018,958689.5,1216843.1,NA,100
"Acre","10.301 - Atenção Básica",2019,6490656.31,7898330.55,549.08,649.08
"Acre","10.301 - Atenção Básica",2020,856498.09,997204.56,-87.37,81.95
"Acre","10.301 - Atenção Básica",2021,4552584.86,4815956.12,382.95,395.77
"Acre","10.301 - Atenção Básica",2022,3421725.37,3421725.37,-28.95,281.2
"Acre","10.302 - Assistência Hospitalar e Ambulatorial",2018,842962707.01,1069953678.45,NA,100
"Acre","10.302 - Assistência Hospitalar e Ambulatorial",2019,812619609.55,988858134.11,-7.58,92.42
"Acre","10.302 - Assistência Hospitalar e Ambulatorial",2020,407201190.37,474096661.43,-52.06,44.31
"Acre","10.302 - Assistência Hospitalar e Ambulatorial",2021,480776552.06,508589922.28,7.28,47.53
"Acre","10.302 - Assistência Hospitalar e Ambulatorial",2022,1449796554.14,1449796554.14,185.06,135.5
"Acre","10.303 - Suporte Profilático e Terapêutico",2018,38238.12,48534.79,NA,100
"Acre","10.303 - Suporte Profilático e Terapêutico",2019,915569.71,1114135.75,2195.54,2295.54
"Acre","10.303 - Suporte Profilático e Terapêutico",2020,646825.24,753086.42,-32.41,1551.64
"Acre","10.303 - Suporte Profilático e Terapêutico",2021,687488.48,727260.33,-3.43,1498.43
"Acre","10.303 - Suporte Profilático e Terapêutico",2022,1995859.34,1995859.34,174.44,4112.22
"Acre","10.304 - Vigilância Sanitária",2018,848007.84,1076357.35,NA,100
"Acre","10.304 - Vigilância Sanitária",2019,486640.27,592181.36,-44.98,55.02
"Acre","10.304 - Vigilância Sanitária",2020,348614.91,405885.76,-31.46,37.71
"Acre","10.304 - Vigilância Sanitária",2021,666810.61,705386.22,73.79,65.53
"Acre","10.304 - Vigilância Sanitária",2022,1234890,1234890,75.07,114.73
"Acre","10.305 - Vigilância Epidemiológica",2018,9003679.63,11428168.84,NA,100
"Acre","10.305 - Vigilância Epidemiológica",2019,3592080.12,4371119.78,-61.75,38.25
"Acre","10.305 - Vigilância Epidemiológica",2020,3374481.1,3928844.66,-10.12,34.38
"Acre","10.305 - Vigilância Epidemiológica",2021,5060243.56,5352983.35,36.25,46.84
"Acre","10.305 - Vigilância Epidemiológica",2022,4128164.16,4128164.16,-22.88,36.12
"Acre","10.306 - Alimentação e Nutrição",2019,30127.15,30127.15,NA,100
"Acre","10.306 - Alimentação e Nutrição",2020,5075.6,4856.22,-83.88,16.12
"Acre","10.306 - Alimentação e Nutrição",2021,16079.69,13978.34,187.84,46.4
"Acre","10.306 - Alimentação e Nutrição",2022,14766.42,12134.69,-13.19,40.28
"Acre","11 - Trabalho",2018,10244350.16,13002924.15,NA,100
"Acre","11 - Trabalho",2019,7865887.07,9571817.27,-26.39,73.61
"Acre","11 - Trabalho",2020,6141911.82,7150912.02,-25.29,54.99
"Acre","11 - Trabalho",2021,6826451.71,7221368.28,0.99,55.54
"Acre","11 - Trabalho",2022,59501126.79,59501126.79,723.96,457.6
"Acre","11.122 - Administração Geral",2018,7054141.93,7357903.98,NA,100
"Acre","11.122 - Administração Geral",2019,5315861.16,5315861.16,-27.75,72.25
"Acre","11.122 - Administração Geral",2020,5758178.74,5509298.55,3.64,74.88
"Acre","11.122 - Administração Geral",2021,5395725.57,4690591.72,-14.86,63.75
"Acre","11.122 - Administração Geral",2022,46248116.11,38005579.12,710.25,516.53
"Acre","11.331 - Proteção e Benefícios ao Trabalhador",2019,33578.05,40860.36,NA,100
"Acre","11.334 - Fomento ao Trabalho",2018,2997243.12,3804333.54,NA,100
"Acre","11.334 - Fomento ao Trabalho",2019,2516447.86,3062207.59,-19.51,80.49
"Acre","11.334 - Fomento ao Trabalho",2020,173737.14,202278.87,-93.39,5.32
"Acre","11.334 - Fomento ao Trabalho",2021,31408.68,33225.7,-83.57,0.87
"Acre","11.334 - Fomento ao Trabalho",2022,1441919.24,1441919.24,4239.77,37.9
"Acre","12 - Educação",2018,1305124490.3,1656565275.8,NA,100
"Acre","12 - Educação",2019,1328366169.18,1616458274,-2.42,97.58
"Acre","12 - Educação",2020,1200506098.41,1397726594.96,-13.53,84.37
"Acre","12 - Educação",2021,1456261946.09,1540508052.65,10.22,92.99
"Acre","12 - Educação",2022,1939561310.09,1939561310.09,25.9,117.08
"Acre","12.122 - Administração Geral",2020,177255860.88,206375653.73,NA,100
"Acre","12.122 - Administração Geral",2021,256770424.82,271624832.46,31.62,131.62
"Acre","12.122 - Administração Geral",2022,2920057.56,2920057.56,-98.92,1.41
"Acre","12.361 - Ensino Fundamental",2018,628800347.6,655877443.94,NA,100
"Acre","12.361 - Ensino Fundamental",2019,654351474.12,654351474.12,-0.23,99.77
"Acre","12.361 - Ensino Fundamental",2020,561991471.55,537701058.07,-17.83,81.98
"Acre","12.361 - Ensino Fundamental",2021,670047582.17,582483227.08,8.33,88.81
"Acre","12.361 - Ensino Fundamental",2022,197446427.45,162256680.96,-72.14,24.74
"Acre","12.362 - Ensino Médio",2020,21261159.82,24753967.15,NA,100
"Acre","12.362 - Ensino Médio",2021,26752498.87,28300155.78,14.33,114.33
"Acre","12.362 - Ensino Médio",2022,615591525.36,615591525.36,2075.22,2486.84
"Acre","12.363 - Ensino Profissional",2018,26188950.52,33241048.16,NA,100
"Acre","12.363 - Ensino Profissional",2019,9570137.64,11645680.63,-64.97,35.03
"Acre","12.363 - Ensino Profissional",2020,8727584.11,10161361.48,-12.75,30.57
"Acre","12.363 - Ensino Profissional",2021,8731463.36,9236586.63,-9.1,27.79
"Acre","12.363 - Ensino Profissional",2022,18531480.01,18531480.01,100.63,55.75
"Acre","12.365 - Educação Infantil",2020,27217885.06,31689269.93,NA,100
"Acre","12.365 - Educação Infantil",2021,35972658.25,38053709.95,20.08,120.08
"Acre","12.365 - Educação Infantil",2022,4065609.22,4065609.22,-89.32,12.83
"Acre","12.366 - Educação de Jovens e Adultos",2018,306175338.99,388621498.29,NA,100
"Acre","12.366 - Educação de Jovens e Adultos",2019,282239351.13,343450582.35,-11.62,88.38
"Acre","12.366 - Educação de Jovens e Adultos",2020,8937289.6,10405517.62,-96.97,2.68
"Acre","12.366 - Educação de Jovens e Adultos",2021,10371841.26,10971861.91,5.44,2.82
"Acre","12.366 - Educação de Jovens e Adultos",2022,1584019.5,1584019.5,-85.56,0.41
"Acre","12.367 - Educação Especial",2021,300697.01,318092.61,NA,100
"Acre","12.367 - Educação Especial",2022,21664.25,21664.25,-93.19,6.81
"Acre","12.368 - Educação Básica",2019,36764.25,44737.57,NA,100
"Acre","12.368 - Educação Básica",2021,45927961.2,48584936.43,108499.85,108599.85
