"Região","Variável","Ano","Valor","Valor corrigido","Variação anual","Índice"
"Mato Grosso do Sul","Receitas Brutas Realizadas",2020,22429230078.23,26113929305.55,9.92,107.99
"Mato Grosso do Sul","Receitas Brutas Realizadas",2021,25966410691.71,27468591675.07,5.19,113.59
"Mato Grosso do Sul","Receitas Brutas Realizadas",2022,29352011055.83,29352011055.83,6.86,121.38
"Minas Gerais","Deduções - FUNDEB",2018,8991975485.27,11413313029.11,NA,100
"Minas Gerais","Deduções - FUNDEB",2019,9547246806.45,11617825304.67,1.79,101.79
"Minas Gerais","Deduções - FUNDEB",2020,9508140494.42,11070148544.22,-4.71,96.99
"Minas Gerais","Deduções - FUNDEB",2021,12473320457.13,13194913634.27,19.19,115.61
"Minas Gerais","Deduções - FUNDEB",2022,13769736004.85,13769736004.85,4.36,120.65
"Minas Gerais","Deduções - Transferências Constitucionais",2022,21692751243.83,21692751243.83,NA,100
"Minas Gerais","Outras Deduções da Receita",2018,843453.51,1070576.64,NA,100
"Minas Gerais","Outras Deduções da Receita",2020,16254141.5,18924390.21,1667.68,1767.68
"Minas Gerais","Outras Deduções da Receita",2021,59885871.77,63350325.09,234.75,5917.4
"Minas Gerais","Receitas Brutas Realizadas",2018,100746782456.06,127875633861.63,NA,100
"Minas Gerais","Receitas Brutas Realizadas",2019,109095587125.6,132755913660.82,3.82,103.82
"Minas Gerais","Receitas Brutas Realizadas",2020,113778395779.22,132470039030.08,-0.22,103.59
"Minas Gerais","Receitas Brutas Realizadas",2021,141528703745.93,149716270748.96,13.02,117.08
"Minas Gerais","Receitas Brutas Realizadas",2022,154178319571.61,154178319571.61,2.98,120.57
"Paraná","Deduções - FUNDEB",2018,5432299870.4,6895096521.39,NA,100
"Paraná","Deduções - FUNDEB",2019,5728031477.15,6970309911.36,1.09,101.09
"Paraná","Deduções - FUNDEB",2020,5771932779.1,6720152409.34,-3.59,97.46
"Paraná","Deduções - FUNDEB",2021,7304753461.2,7727340235.62,14.99,112.07
"Paraná","Deduções - FUNDEB",2022,8182347227.19,8182347227.19,5.89,118.67
"Paraná","Deduções - Transferências Constitucionais",2020,9804634583.76,11415351017.14,NA,100
"Paraná","Deduções - Transferências Constitucionais",2021,11806032956.87,12489022932.16,9.41,109.41
"Paraná","Deduções - Transferências Constitucionais",2022,13096082163.11,13096082163.11,4.86,114.72
"Paraná","Outras Deduções da Receita",2018,397250528.21,504221195.54,NA,100
"Paraná","Outras Deduções da Receita",2019,387273588.54,471264332.85,-6.54,93.46
"Paraná","Outras Deduções da Receita",2020,331923026.61,386451715.98,-18,76.64
"Paraná","Outras Deduções da Receita",2021,915271768.07,968221090.21,150.54,192.02
"Paraná","Outras Deduções da Receita",2022,1205290542.73,1205290542.73,24.49,239.04
"Paraná","Receitas Brutas Realizadas",2018,57211876217.72,72617752720.24,NA,100
"Paraná","Receitas Brutas Realizadas",2019,58519238723.62,71210717208.44,-1.94,98.06
"Paraná","Receitas Brutas Realizadas",2020,64347061633.84,74918069530.94,5.21,103.17
"Paraná","Receitas Brutas Realizadas",2021,76240465457.49,80651047217.61,7.65,111.06
"Paraná","Receitas Brutas Realizadas",2022,86945610739.34,86945610739.34,7.8,119.73
"Paraíba","Deduções - FUNDEB",2018,1716585300.66,2178823264.11,NA,100
"Paraíba","Deduções - FUNDEB",2019,1827929961.61,2224365976.25,2.09,102.09
"Paraíba","Deduções - FUNDEB",2020,1827214410.2,2127391255.41,-4.36,97.64
"Paraíba","Deduções - FUNDEB",2021,2378368472.29,2515959298.1,18.27,115.47
"Paraíba","Deduções - FUNDEB",2022,2718186308.21,2718186308.21,8.04,124.75
"Paraíba","Deduções - Transferências Constitucionais",2018,1547997907.78,1964839063.32,NA,100
"Paraíba","Deduções - Transferências Constitucionais",2019,1633700255.99,1988012309.63,1.18,101.18
"Paraíba","Deduções - Transferências Constitucionais",2020,1700891172.32,1980315493.46,-0.39,100.79
"Paraíba","Deduções - Transferências Constitucionais",2021,2063783770.98,2183175579.55,10.24,111.11
"Paraíba","Deduções - Transferências Constitucionais",2022,2185548727.9,2185548727.9,0.11,111.23
"Paraíba","Outras Deduções da Receita",2018,5032907.88,6388157.22,NA,100
"Paraíba","Outras Deduções da Receita",2019,6354809.2,7733021.32,21.05,121.05
"Paraíba","Outras Deduções da Receita",2020,11028549.07,12840331.56,66.05,201
"Paraíba","Outras Deduções da Receita",2021,137732560.43,145700517.02,1034.71,2280.79
"Paraíba","Outras Deduções da Receita",2022,76025694.82,76025694.82,-47.82,1190.1
"Paraíba","Receitas Brutas Realizadas",2018,13972018807.68,17734370446.4,NA,100
"Paraíba","Receitas Brutas Realizadas",2019,14844544847.9,18063985593.6,1.86,101.86
"Paraíba","Receitas Brutas Realizadas",2020,15881123164.94,18490091999.39,2.36,104.26
"Paraíba","Receitas Brutas Realizadas",2021,18809312104.47,19897448285.05,7.61,112.2
"Paraíba","Receitas Brutas Realizadas",2022,22352818025.64,22352818025.64,12.34,126.04
"Pará","Deduções - FUNDEB",2018,2863179742.56,3634169901.15,NA,100
"Pará","Deduções - FUNDEB",2019,3152398446.08,3836081247.27,5.56,105.56
"Pará","Deduções - FUNDEB",2020,3340008408.71,3888708759.1,1.37,107
"Pará","Deduções - FUNDEB",2021,4274847861.47,4522151781.93,16.29,124.43
"Pará","Deduções - FUNDEB",2022,5128254436.58,5128254436.58,13.4,141.11
"Pará","Deduções - Transferências Constitucionais",2022,5634845727.33,5634845727.33,NA,100
"Pará","Outras Deduções da Receita",2018,153866672.89,195299520.7,NA,100
"Pará","Outras Deduções da Receita",2019,58260548.96,70895923.58,-63.7,36.3
"Pará","Outras Deduções da Receita",2020,507407283,590764724.03,733.28,302.49
"Pará","Outras Deduções da Receita",2021,142743118.66,151000940.69,-74.44,77.32
"Pará","Outras Deduções da Receita",2022,359504167.29,359504167.29,138.08,184.08
"Pará","Receitas Brutas Realizadas",2018,27878040047.02,35384971657.9,NA,100
"Pará","Receitas Brutas Realizadas",2019,30888704602.4,37587755007.63,6.23,106.23
"Pará","Receitas Brutas Realizadas",2020,35799293449.3,41680441774.56,10.89,117.79
"Pará","Receitas Brutas Realizadas",2021,39639686244.48,41932878922.12,0.61,118.5
"Pará","Receitas Brutas Realizadas",2022,50356096660.67,50356096660.67,20.09,142.31
"Pernambuco","Deduções - FUNDEB",2018,3692983081.32,4687420688.3,NA,100
"Pernambuco","Deduções - FUNDEB",2019,4039596602.89,4915692302.2,4.87,104.87
